,PERK,ATF6,XBP1S,RIDD,patient_id
0,-0.007441870171394618,0.0,0.10001453285230986,-0.02453286483141437,8262
1,-0.01779256800342007,0.0,0.07783251204442553,-0.03988219940091899,5743
2,-0.011438367362738462,0.0,0.09742586744829405,-0.03784710953231112,A7NG
3,-0.014161463961561689,0.0,0.09692185162083673,-0.03214633289601487,A8QW
4,-0.013270160311551791,0.0,0.11694097093498936,-0.03263635214244852,A9WJ
5,-0.004847404659356335,0.0,0.10712422168316184,-0.011851241372636748,8213
6,-0.009493526331511988,0.0,0.09682089887265492,-0.025021098222565333,AAYO
7,-0.006349187767365721,0.0,0.10120816557789039,-0.019748883295117727,A9KY
8,-0.011314382245615736,0.0,0.0781576249883639,-0.02594406469689271,A9LM
9,-0.011126095434964282,0.0,0.10367736626618614,-0.02388599036871172,A8IH
10,-0.005187960381861771,0.0,0.10444413667897226,-0.01806578829453921,A9OF
11,-0.006025166537743598,0.0,0.10975008713433625,-0.015461573678272294,A6AN
12,-0.007042686699849807,0.0,0.09205162466172659,-0.028069873557412237,A6AP
13,-0.010572923069148173,0.0,0.07377539932442778,-0.01585407474372457,A59V
14,-0.007627673669900165,0.0,0.06605810547708856,-0.02895223829705504,A8SF
15,-0.007683009881676056,0.0,0.08496770660990789,-0.033696424392952506,A723
16,-0.010173852127528195,0.0,0.11006461283215319,-0.015847861364403346,A6E7
17,-0.015042592057615056,0.0,0.1051821242876675,-0.023548749948623195,7314
18,-0.012584634331102695,0.0,0.10237760727894236,-0.025068199149665068,A65F
19,-0.00847401108494875,0.0,0.07983903115308029,-0.020807660077274075,6496
20,-0.007678914915250921,0.0,0.09622768329165662,-0.023189103042322454,8261
21,-0.005501140140722977,0.0,0.09950984695734184,-0.015091623342955008,A9DX
22,-0.010548455133657007,0.0,0.10959605979705793,-0.043523419171781166,7792
23,-0.016853664402608094,0.0,0.09123138578186299,-0.028312184827402293,6384
24,-0.016414402196811572,0.0,0.11191362843878197,-0.028214651250022784,7736
25,-0.009270959513365498,0.0,0.10122201200876396,-0.023656735653844605,7784
26,-0.016056890181990607,0.0,0.08727815114136556,-0.040343015409112636,A4BR
27,-0.009473013588089992,0.0,0.11162166484623762,-0.014438575797378205,A8SA
28,-0.008914985211613484,0.0,0.10517049145495769,-0.03306246994205205,A878
29,-0.009303394729289774,0.0,0.10560677324874579,-0.029031446036637237,7961
30,-0.003121981411986116,0.0,0.08874954481973481,-0.014718325181711263,A7AW
31,-0.009711459395790985,0.0,0.09391047218225775,-0.010723413890058058,AAMC
32,-0.0015912011291010304,0.0,0.08979044321090873,-0.012845060458373636,A65D
33,-0.009195328270505542,0.0,0.10223448484580257,-0.02984191297946121,AAIV
34,-0.013320800672366278,0.0,0.08508494353450897,-0.03328382023343927,7745
