"","CCL2","FKBP14","ACADVL","ADD1","EDEM1","HSP90B1","CUL7","WIPI1","PLA2G4B","TLN1","KLHDC3","SEC31A","XBP1","HERPUD1","DCTN1","SRPRB","HSPA5","DDX11","TATDN2","SYVN1","DNAJB11","EXTL1","ATP6V0D1","HDGF","EXTL2","CTDSP2","DDIT3","SHC1","TSPYL2","TPP1","PDIA5","EXTL3","ARFGAP1","DNAJB9","SULT1A3","DNAJC3","SERP1","IGFBP1","YIF1A","ZBTB17","LMNA","WFS1","KDELR3","CXCL8","CALR","HYOU1","GSK3A","ASNS","PREB","SSR1","CXXC1","MYDGF","PPP2R5B","GOSR2","ATF4","GFPT1","PDIA6","ATF3"
"ZBTB17",318,520,319,268,656,526,806,475,500,414,78,972,756,12,423,50,65,482,897,880,880,498,906,370,935,792,170,995,41,971,430,632,122,32,974,415,840,901,111,0,882,566,259,112,633,34,727,4,128,296,599,973,435,463,511,125,477,884
"LMNA",633,388,538,293,437,39,136,287,544,108,943,39,698,37,171,821,252,901,171,436,52,221,808,559,219,769,103,959,346,996,564,737,564,837,211,525,594,167,415,882,0,906,721,711,59,109,168,704,290,512,480,7,153,997,170,505,1,170
"WFS1",779,466,38,259,977,12,620,80,24,159,61,88,4,744,457,137,3,51,347,21,143,276,858,588,402,618,12,74,34,148,119,30,871,67,127,254,965,962,420,566,906,0,566,688,919,14,664,12,157,231,607,173,889,620,133,0,21,69
"KDELR3",132,294,425,67,46,221,120,18,435,22,923,3,548,5,285,708,547,749,33,16,73,53,50,338,169,324,139,42,705,108,517,851,334,749,245,391,235,999,123,259,721,566,0,709,532,261,173,336,842,131,538,896,56,278,58,130,721,554
"CXCL8",35,671,720,328,426,478,702,698,518,218,561,278,847,685,777,502,694,308,867,648,750,405,336,911,592,830,36,333,219,248,748,453,360,649,127,473,86,587,50,112,711,688,709,0,276,353,790,98,280,694,248,918,518,817,367,329,948,91
"CALR",220,715,933,177,333,603,839,607,346,318,778,179,472,706,620,720,419,958,595,34,899,400,977,926,251,775,69,860,643,962,695,158,968,430,90,484,94,183,613,633,59,919,532,276,0,501,482,904,518,624,906,789,786,486,16,927,218,100
"HYOU1",909,10,943,8,113,226,0,316,194,7,28,6,110,907,806,134,571,815,18,71,8,5,60,153,21,0,192,147,9,95,570,21,156,444,31,943,9,557,23,34,109,14,261,353,501,0,77,534,881,29,337,868,0,8,84,491,757,951
"GSK3A",503,255,171,765,692,47,934,713,488,942,751,138,89,869,278,90,138,180,928,192,489,371,616,980,679,836,33,160,70,419,543,279,101,88,421,275,379,768,977,727,168,664,173,790,482,77,0,155,238,523,673,971,334,595,40,50,525,251
"ASNS",86,889,0,2,804,698,312,788,1,857,109,718,34,425,116,192,638,812,681,789,739,56,497,323,870,670,647,931,840,472,442,980,406,563,425,45,807,760,932,4,704,12,336,98,904,534,155,0,204,385,316,668,558,836,913,130,595,310
"PREB",772,111,958,82,396,189,86,980,739,359,15,383,257,308,764,88,315,763,374,174,290,69,384,729,138,164,132,223,6,565,89,19,89,215,975,696,33,440,523,128,290,157,842,280,518,881,238,204,0,176,381,472,18,98,752,53,671,375
"SSR1",913,476,67,702,369,495,18,357,880,672,529,192,388,469,260,248,142,254,71,469,741,256,552,486,615,43,313,883,241,261,995,92,229,376,659,378,341,952,653,296,512,231,131,694,624,29,523,385,176,0,84,902,32,249,351,439,903,325
"CXXC1",256,6,189,717,809,562,973,440,768,542,169,37,55,545,463,33,111,450,937,50,704,573,484,108,714,677,142,578,18,785,122,30,141,3,696,218,361,653,978,599,480,607,538,248,906,337,673,316,381,84,0,368,142,207,221,51,933,772
"MYDGF",898,822,135,775,226,476,977,516,508,740,236,162,368,396,643,592,465,336,471,69,846,974,695,589,619,417,284,865,835,583,153,244,172,726,892,851,741,189,523,973,7,173,896,918,789,868,971,668,472,902,368,0,743,910,976,713,127,42
"PPP2R5B",115,530,111,433,362,58,217,241,66,666,689,82,247,597,284,158,5,181,151,33,408,289,882,529,9,808,476,897,60,466,912,839,808,7,707,4,688,291,554,435,153,889,56,518,786,0,334,558,18,32,142,743,0,178,912,331,423,975
"GOSR2",959,94,53,597,880,159,178,14,359,609,327,785,84,374,495,31,65,362,783,124,764,391,844,801,744,303,121,339,187,295,246,6,467,148,237,587,80,431,686,463,997,620,278,817,486,8,595,836,98,249,207,910,178,0,269,2,481,367
"ATF4",694,698,18,8,120,860,177,533,3,771,106,529,25,111,471,761,727,686,765,579,64,253,932,113,869,164,237,988,829,973,653,834,575,696,480,150,930,80,213,511,170,133,58,367,16,84,40,913,752,351,221,976,912,269,0,662,940,396
"GFPT1",256,4,6,0,88,509,3,712,81,360,13,88,77,746,979,730,703,434,99,350,920,1,547,54,22,34,746,17,90,460,115,2,42,446,369,704,32,465,321,125,505,0,130,329,927,491,50,130,53,439,51,713,331,2,662,0,248,818
"PDIA6",624,378,706,529,920,520,175,976,610,320,250,506,131,282,686,954,651,641,813,166,419,413,269,630,680,79,321,92,397,651,409,34,638,854,701,515,984,215,743,477,1,21,721,948,218,757,525,595,671,903,933,127,423,481,940,248,0,86
"ATF3",897,425,984,200,829,459,353,874,586,581,236,1000,641,40,625,206,412,853,458,812,263,639,323,754,905,284,627,231,642,457,347,472,949,759,313,995,912,187,214,884,170,69,554,91,100,951,251,310,375,325,772,42,975,367,396,818,86,0
