"","CCL2","FKBP14","ACADVL","ADD1","EDEM1","HSP90B1","CUL7","WIPI1","PLA2G4B","TLN1","KLHDC3","SEC31A","XBP1","HERPUD1","DCTN1","SRPRB","HSPA5","DDX11","TATDN2","SYVN1","DNAJB11","EXTL1","ATP6V0D1","HDGF","EXTL2","CTDSP2","DDIT3","SHC1","TSPYL2","TPP1","PDIA5","EXTL3","ARFGAP1","DNAJB9","SULT1A3","DNAJC3","SERP1","IGFBP1","YIF1A","ZBTB17","LMNA","WFS1","KDELR3","CXCL8","CALR","HYOU1","GSK3A","ASNS","PREB","SSR1","CXXC1","MYDGF","PPP2R5B","GOSR2","ATF4","GFPT1","PDIA6","ATF3"
"ASNS",2,389,6,3,106,517,0,314,0,60,894,640,0,9,280,788,796,243,715,0,488,428,6,225,18,193,19,512,0,26,261,195,17,118,0,213,380,34,18,39,118,0,7,0,216,159,633,0,716,137,1,194,1,955,406,432,21,3
"PREB",48,325,1,3,355,446,0,328,338,776,4,799,25,634,107,953,904,435,176,43,673,863,12,172,637,115,4,5,878,505,762,634,272,73,140,453,33,797,3,4,28,0,85,6,112,276,46,716,0,673,6,124,3,802,298,316,71,213
"SSR1",32,637,283,460,0,763,729,463,9,605,1,16,0,241,671,0,0,393,52,1,286,393,14,639,532,0,4,1,42,0,113,208,0,0,186,1,10,199,60,403,347,1,962,695,536,919,940,137,673,0,52,688,29,7,186,47,58,16
"CXXC1",298,206,0,0,512,535,59,42,0,391,77,704,99,90,18,51,724,923,407,478,520,6,2,171,355,986,0,135,7,884,343,333,0,790,0,460,836,608,0,0,21,136,365,617,986,815,800,1,6,52,0,29,72,776,1,756,77,715
"MYDGF",27,19,586,0,670,19,571,121,200,277,96,998,45,374,29,705,105,90,806,429,378,256,73,173,593,360,49,741,416,799,939,336,654,433,964,412,262,748,1,165,199,26,896,667,1,93,53,194,124,688,29,0,469,277,1,827,786,22
"PPP2R5B",263,807,110,212,472,304,4,702,286,224,274,898,623,552,819,772,803,88,434,735,573,293,59,0,186,111,127,19,398,398,52,285,548,279,951,21,526,54,955,576,6,229,80,258,910,80,98,1,3,29,72,469,0,67,94,468,49,733
"GOSR2",935,0,437,95,0,427,31,615,560,0,109,140,871,903,767,616,154,371,297,370,328,590,965,394,0,0,73,2,627,99,0,0,336,416,712,28,132,916,66,658,3,72,0,140,20,397,913,955,802,7,776,277,67,0,474,404,15,479
"ATF4",600,463,0,11,771,632,10,601,24,705,655,41,78,195,851,556,784,450,977,176,484,842,65,110,87,566,38,800,3,558,226,836,67,65,68,570,570,123,3,0,78,3,193,25,961,488,167,406,298,186,1,1,94,474,0,498,732,238
"GFPT1",457,37,629,225,13,782,906,173,240,131,20,363,0,261,348,124,124,967,591,8,858,76,283,565,230,386,0,648,75,136,132,346,0,362,155,45,294,836,163,175,536,24,843,652,148,633,791,432,316,47,756,827,468,404,498,0,617,39
"PDIA6",139,474,576,400,0,13,994,211,17,179,5,55,0,0,40,0,0,4,5,0,514,297,1,76,114,0,250,31,973,0,844,199,7,0,760,1,0,615,691,111,16,0,86,16,842,300,622,21,71,58,77,786,49,15,732,617,0,1
"ATF3",519,95,800,10,319,98,402,897,56,644,135,961,945,409,197,0,16,449,782,142,0,841,160,0,225,166,317,509,84,368,171,258,60,497,787,319,474,248,271,860,901,85,43,570,1,0,561,3,213,16,715,22,733,479,238,39,1,0
