"","CCL2","FKBP14","ACADVL","ADD1","EDEM1","HSP90B1","CUL7","WIPI1","PLA2G4B","TLN1","KLHDC3","SEC31A","XBP1","HERPUD1","DCTN1","SRPRB","HSPA5","DDX11","TATDN2","SYVN1","DNAJB11","EXTL1","ATP6V0D1","HDGF","EXTL2","CTDSP2","DDIT3","SHC1","TSPYL2","TPP1","PDIA5","EXTL3","ARFGAP1","DNAJB9","SULT1A3","DNAJC3","SERP1","IGFBP1","YIF1A","ZBTB17","LMNA","WFS1","KDELR3","CXCL8","CALR","HYOU1","GSK3A","ASNS","PREB","SSR1","CXXC1","MYDGF","PPP2R5B","GOSR2","ATF4","GFPT1","PDIA6","ATF3"
"CALR",62,13,242,5,165,150,37,48,28,34,102,0,296,16,278,777,232,386,157,14,335,20,781,204,0,25,901,210,0,789,579,22,60,0,360,229,547,103,744,87,499,2,450,54,0,265,692,442,27,108,454,760,2,426,408,205,32,836
"HYOU1",122,71,250,104,551,543,711,362,79,29,917,0,613,434,968,434,806,480,579,776,370,463,360,283,1,16,742,756,7,678,440,429,654,1,174,361,672,461,923,733,792,23,978,576,265,0,496,294,71,154,767,398,7,849,924,365,549,179
"GSK3A",106,209,702,301,212,693,982,16,867,76,290,42,947,191,132,226,207,628,810,302,299,91,769,71,7,154,923,989,11,352,755,434,585,5,492,916,585,274,700,529,101,671,421,115,692,496,0,963,455,345,279,286,246,495,411,344,139,761
"ASNS",172,475,771,980,847,745,668,240,589,589,852,384,967,302,786,533,691,505,774,748,730,302,140,481,325,89,512,160,5,104,192,604,479,64,443,893,652,66,728,547,543,376,142,720,442,294,963,0,174,115,725,156,376,269,996,994,382,623
"PREB",387,286,311,74,753,131,996,676,17,24,34,12,421,268,574,36,141,595,964,669,236,54,405,470,5,47,743,721,6,940,7,154,706,31,38,960,94,404,105,351,474,121,170,155,27,71,455,174,0,227,745,151,26,754,651,122,154,52
"SSR1",29,808,26,96,765,170,997,60,480,55,629,112,385,118,736,783,22,17,480,43,142,225,552,168,183,243,417,838,4,545,211,563,783,0,137,561,259,86,789,939,908,11,264,138,108,154,345,115,227,0,290,159,173,575,766,31,20,983
"CXXC1",3,485,269,137,432,849,492,57,430,550,511,169,438,506,674,597,867,3,864,573,501,40,563,95,52,65,144,430,35,69,89,232,534,1,59,557,981,48,463,385,357,29,669,270,454,767,279,725,745,290,0,747,17,952,590,28,730,548
"MYDGF",195,23,206,3,84,181,282,20,292,8,366,4,860,62,706,998,483,146,335,94,844,1,84,53,11,0,510,127,0,248,854,12,791,9,392,163,385,664,24,119,64,31,99,15,760,398,286,156,151,159,747,0,0,62,472,68,101,382
"PPP2R5B",878,534,627,993,114,122,539,93,610,140,774,371,249,260,503,367,19,111,168,9,34,162,448,102,314,238,434,321,347,946,863,426,224,576,538,90,209,133,1,729,944,662,361,116,2,7,246,376,26,173,17,0,0,396,235,369,3,524
"GOSR2",394,759,91,384,927,726,778,86,711,254,938,228,146,361,304,93,547,90,440,23,849,897,394,985,316,466,328,344,400,304,549,365,729,14,299,689,12,55,96,299,483,65,672,599,426,849,495,269,754,575,952,62,396,0,512,923,230,53
"ATF4",418,407,828,985,344,827,662,3,959,597,15,358,213,115,539,646,648,982,947,71,363,320,832,49,81,164,987,892,8,419,841,550,22,103,588,502,731,4,773,874,198,174,71,852,408,924,411,996,651,766,590,472,235,512,0,574,43,6
"GFPT1",749,221,1,484,484,98,666,46,747,48,473,27,230,891,287,308,130,443,822,345,132,530,630,347,965,76,973,46,11,629,4,714,995,6,2,523,801,238,151,933,178,223,394,364,205,365,344,994,122,31,28,68,369,923,574,0,109,741
"PDIA6",371,204,4,89,247,17,188,13,503,107,644,25,806,8,617,807,30,180,806,19,244,51,339,106,120,6,801,162,3,422,304,322,541,0,37,933,345,416,877,715,370,1,95,0,32,549,139,382,154,20,730,101,3,230,43,109,0,921
"ATF3",557,679,981,982,26,65,465,178,416,317,169,123,633,427,582,851,254,153,20,40,54,245,728,374,937,430,388,239,701,545,690,810,241,238,706,887,117,635,395,569,962,695,966,965,836,179,761,623,52,983,548,382,524,53,6,741,921,0
