"","CCL2","FKBP14","ACADVL","ADD1","EDEM1","HSP90B1","CUL7","WIPI1","PLA2G4B","TLN1","KLHDC3","SEC31A","XBP1","HERPUD1","DCTN1","SRPRB","HSPA5","DDX11","TATDN2","SYVN1","DNAJB11","EXTL1","ATP6V0D1","HDGF","EXTL2","CTDSP2","DDIT3","SHC1","TSPYL2","TPP1","PDIA5","EXTL3","ARFGAP1","DNAJB9","SULT1A3","DNAJC3","SERP1","IGFBP1","YIF1A","ZBTB17","LMNA","WFS1","KDELR3","CXCL8","CALR","HYOU1","GSK3A","ASNS","PREB","SSR1","CXXC1","MYDGF","PPP2R5B","GOSR2","ATF4","GFPT1","PDIA6","ATF3"
"PREB",954,454,330,644,92,434,687,645,781,675,840,298,246,531,761,220,222,320,26,971,67,426,263,681,603,732,476,47,952,274,742,562,460,875,569,203,344,497,558,256,685,234,897,626,566,612,98,188,0,685,979,153,769,627,85,553,486,790
"SSR1",230,16,489,716,43,501,109,165,925,886,68,70,124,871,632,12,295,517,662,614,278,275,42,941,959,660,71,386,225,442,727,921,563,17,194,113,323,31,678,599,433,601,798,504,782,599,418,911,685,0,628,919,955,17,766,198,836,265
"CXXC1",387,422,182,640,408,814,803,139,572,347,646,898,468,844,296,958,626,720,798,958,736,691,889,631,793,794,651,782,453,870,752,988,181,910,138,604,942,408,738,952,988,880,365,866,408,893,922,824,979,628,0,986,921,785,806,523,678,658
"MYDGF",199,734,294,464,618,471,856,406,220,502,311,478,480,397,781,651,551,345,279,896,706,620,510,728,111,334,460,401,845,737,119,518,928,189,928,357,331,590,480,362,287,205,623,18,756,521,730,666,153,919,986,0,700,863,53,875,178,957
"PPP2R5B",374,573,127,680,531,305,942,924,676,985,952,90,464,560,387,34,520,451,291,839,32,860,22,700,927,945,440,392,763,245,156,499,570,735,475,652,869,212,869,447,884,568,441,165,868,924,90,266,769,955,921,700,0,139,146,577,235,359
"GOSR2",666,19,225,724,35,854,271,556,718,593,288,231,52,415,250,3,229,966,431,314,6,722,2,605,249,168,51,54,678,220,66,127,946,41,139,110,240,193,310,948,554,144,394,940,370,831,853,684,627,17,785,863,139,0,707,464,101,567
"ATF4",323,120,767,446,345,67,131,812,662,820,297,654,50,166,852,96,330,200,539,387,118,91,546,149,919,138,330,511,994,445,2,453,60,29,299,748,2,907,122,276,735,502,83,596,102,238,150,700,85,766,806,53,146,707,0,593,556,898
"GFPT1",283,100,516,520,348,899,87,770,203,613,930,150,326,869,713,18,124,581,611,882,0,375,120,569,899,908,206,547,172,697,367,535,803,1,66,300,192,21,644,636,381,251,783,121,420,706,265,983,553,198,523,875,577,464,593,0,880,87
"PDIA6",762,26,888,593,204,784,429,331,519,664,77,221,71,404,256,46,338,575,942,822,384,556,115,464,298,258,417,110,284,347,476,643,884,931,181,509,4,673,236,701,559,507,305,392,826,325,929,184,486,836,678,178,235,101,556,880,0,625
"ATF3",421,525,654,423,588,225,73,141,273,427,145,511,557,581,449,884,657,322,871,340,770,565,668,83,480,502,645,810,823,989,609,470,354,38,358,293,699,709,525,986,454,676,483,681,230,868,59,91,790,265,658,957,359,567,898,87,625,0
