"","CCL2","FKBP14","ACADVL","ADD1","EDEM1","HSP90B1","CUL7","WIPI1","PLA2G4B","TLN1","KLHDC3","SEC31A","XBP1","HERPUD1","DCTN1","SRPRB","HSPA5","DDX11","TATDN2","SYVN1","DNAJB11","EXTL1","ATP6V0D1","HDGF","EXTL2","CTDSP2","DDIT3","SHC1","TSPYL2","TPP1","PDIA5","EXTL3","ARFGAP1","DNAJB9","SULT1A3","DNAJC3","SERP1","IGFBP1","YIF1A","ZBTB17","LMNA","WFS1","KDELR3","CXCL8","CALR","HYOU1","GSK3A","ASNS","PREB","SSR1","CXXC1","MYDGF","PPP2R5B","GOSR2","ATF4","GFPT1","PDIA6","ATF3"
"SERP1",191,762,123,379,741,225,557,992,49,166,613,515,486,701,183,844,769,78,81,419,263,290,98,844,794,629,956,825,998,513,368,30,179,407,151,726,0,971,781,76,893,610,311,385,624,171,162,977,717,569,148,767,414,759,879,756,849,494
"IGFBP1",328,337,376,407,330,984,622,915,567,104,84,985,206,436,843,870,896,252,810,953,81,857,872,718,912,809,831,441,345,545,306,635,624,554,658,405,971,0,431,650,575,682,510,396,893,748,619,582,794,752,664,826,735,189,863,994,214,526
"YIF1A",553,135,231,26,907,864,433,965,856,730,271,343,206,424,2,601,912,370,781,96,778,7,162,667,243,864,440,712,2,261,647,605,931,280,843,945,781,431,0,800,814,71,32,576,205,172,688,388,995,966,755,253,1,889,947,138,969,548
"ZBTB17",430,46,62,419,952,264,990,873,790,56,527,432,519,797,571,150,769,21,254,809,219,682,312,245,75,259,942,629,722,181,787,144,163,258,3,610,76,650,800,0,967,864,663,583,773,525,160,170,448,861,45,687,51,868,4,194,673,478
"LMNA",590,1,513,127,724,0,93,465,273,557,981,34,261,407,650,421,26,620,10,51,36,807,659,328,0,136,669,452,422,89,688,4,127,340,943,17,893,575,814,967,0,929,217,365,1,10,919,351,8,51,171,293,93,61,20,152,0,26
"WFS1",548,925,213,846,906,274,652,167,94,629,732,956,254,928,778,677,198,503,629,152,409,632,836,678,468,310,735,298,197,464,44,600,687,703,220,535,610,682,71,864,929,0,325,354,48,944,233,795,539,973,905,779,822,450,149,845,10,737
"KDELR3",527,632,748,267,931,134,993,799,33,946,343,581,742,369,651,668,437,641,429,346,618,420,216,923,697,631,408,266,187,68,227,255,609,289,449,846,311,510,32,663,217,325,0,970,490,126,855,657,41,470,349,390,272,37,481,818,150,510
"CXCL8",56,478,225,690,59,110,350,425,79,72,619,958,92,64,317,665,945,688,487,96,88,106,102,936,833,359,440,145,334,52,938,252,793,797,141,77,385,396,576,583,365,354,970,0,319,207,474,552,943,168,752,527,764,728,302,791,274,631
"CALR",606,13,62,309,116,49,2,70,261,521,69,19,765,300,728,979,131,786,5,6,374,298,293,61,63,517,405,58,249,1,293,9,84,230,545,96,624,893,205,773,1,48,490,319,0,6,397,439,34,40,973,905,253,13,428,79,266,42
"HYOU1",618,0,84,626,113,3,82,34,780,388,153,60,227,178,460,420,51,375,61,291,35,573,779,957,54,167,885,40,964,335,37,76,347,343,379,176,171,748,172,525,10,944,126,207,6,0,544,972,643,459,4,267,390,290,105,31,369,1
"GSK3A",981,73,369,655,792,589,431,534,236,935,354,172,942,819,767,500,846,524,480,521,961,678,650,485,59,715,894,465,625,783,302,269,126,907,342,896,162,619,688,160,919,233,855,474,397,544,0,308,61,909,11,687,42,844,21,104,533,218
"ASNS",946,539,280,852,580,641,472,970,477,753,558,953,998,642,997,436,577,204,641,774,418,968,245,535,399,983,592,669,765,534,627,280,709,809,19,734,977,582,388,170,351,795,657,552,439,972,308,0,960,756,30,772,713,843,630,634,899,315
"PREB",998,597,127,686,106,191,158,485,916,51,180,926,502,759,962,831,137,50,312,940,113,63,106,706,383,434,776,423,775,573,972,269,206,827,962,655,717,794,995,448,8,539,41,943,34,643,61,960,0,743,131,272,462,646,646,957,854,291
"SSR1",363,222,72,460,22,34,608,461,842,430,8,19,229,37,671,402,21,377,28,291,548,88,607,481,167,929,621,90,767,205,54,235,491,831,524,1,569,752,966,861,51,973,470,168,40,459,909,756,743,0,569,282,669,230,158,953,47,401
"CXXC1",894,19,164,52,810,108,879,985,613,413,437,34,588,620,911,101,530,9,25,186,69,581,214,21,5,182,878,844,577,59,669,66,57,153,20,566,148,664,755,45,171,905,349,752,973,4,11,30,131,569,0,817,54,84,1,12,895,449
"MYDGF",505,786,53,394,594,807,25,320,620,346,96,788,887,878,333,150,956,427,398,129,410,129,515,719,398,942,988,272,83,93,839,605,132,769,657,548,767,826,253,687,293,779,390,527,905,267,687,772,272,282,817,0,960,138,215,696,652,647
"PPP2R5B",650,25,223,840,461,283,361,213,340,888,576,232,603,887,520,982,552,34,441,980,157,926,375,55,15,375,375,113,293,341,90,135,105,595,450,518,414,735,1,51,93,822,272,764,253,390,42,713,462,669,54,960,0,651,34,75,547,350
"GOSR2",699,650,110,240,389,599,175,321,829,682,632,932,199,416,122,254,219,689,658,448,826,109,485,576,721,354,359,245,531,525,124,727,438,97,955,934,759,189,889,868,61,450,37,728,13,290,844,843,646,230,84,138,651,0,696,870,468,159
"ATF4",163,58,0,26,259,765,2,353,0,122,178,39,115,826,128,347,326,4,122,1,478,469,866,11,0,22,98,455,444,804,556,6,2,830,19,130,879,863,947,4,20,149,481,302,428,105,21,630,646,158,1,215,34,696,0,101,913,602
"GFPT1",615,85,155,46,469,123,488,733,432,878,253,216,920,467,311,193,463,65,17,162,139,791,203,105,36,305,761,600,765,735,364,12,237,974,778,418,756,994,138,194,152,845,818,791,79,31,104,634,957,953,12,696,75,870,101,0,626,182
"PDIA6",514,32,99,287,60,373,95,27,135,69,30,48,331,102,501,538,11,480,100,95,654,304,357,304,442,894,187,60,245,0,181,190,432,308,610,20,849,214,969,673,0,10,150,274,266,369,533,899,854,47,895,652,547,468,913,626,0,3
"ATF3",936,37,503,400,692,2,399,873,752,966,967,123,48,444,265,952,111,536,164,34,4,900,881,568,11,42,497,398,206,549,346,13,492,153,688,66,494,526,548,478,26,737,510,631,42,1,218,315,291,401,449,647,350,159,602,182,3,0
