"","CCL2","FKBP14","ACADVL","ADD1","EDEM1","HSP90B1","CUL7","WIPI1","PLA2G4B","TLN1","KLHDC3","SEC31A","XBP1","HERPUD1","DCTN1","SRPRB","HSPA5","DDX11","TATDN2","SYVN1","DNAJB11","EXTL1","ATP6V0D1","HDGF","EXTL2","CTDSP2","DDIT3","SHC1","TSPYL2","TPP1","PDIA5","EXTL3","ARFGAP1","DNAJB9","SULT1A3","DNAJC3","SERP1","IGFBP1","YIF1A","ZBTB17","LMNA","WFS1","KDELR3","CXCL8","CALR","HYOU1","GSK3A","ASNS","PREB","SSR1","CXXC1","MYDGF","PPP2R5B","GOSR2","ATF4","GFPT1","PDIA6","ATF3"
"GSK3A",387,269,610,10,382,641,83,571,232,731,96,141,545,284,9,633,529,3,830,230,841,768,571,784,42,390,776,599,729,464,739,316,960,861,244,797,986,818,171,645,225,270,226,804,125,475,0,913,378,813,739,115,738,236,557,684,672,865
"ASNS",2,134,241,290,29,4,127,961,609,709,4,3,1,985,82,359,4,490,373,102,281,629,320,154,336,1,99,55,33,54,1,38,695,40,15,201,236,693,274,829,81,743,367,1,153,78,913,0,235,2,137,773,425,128,69,4,19,75
"PREB",385,493,658,376,22,197,605,22,561,214,14,180,6,142,155,331,416,381,822,167,19,93,676,634,492,985,187,220,640,78,347,867,317,287,818,10,308,103,953,760,463,448,15,593,256,268,378,235,0,39,50,437,60,400,200,104,81,747
"SSR1",242,281,10,0,676,574,333,653,394,220,746,53,116,247,0,60,222,6,592,94,753,244,33,27,5,126,64,270,301,218,7,223,10,261,305,16,106,43,1,4,50,32,188,66,488,93,813,2,39,0,108,87,381,372,918,107,51,621
"CXXC1",108,661,0,8,110,892,217,642,48,99,527,336,900,4,66,303,107,961,921,330,34,41,497,139,2,5,0,791,62,64,314,467,0,93,0,1,733,171,0,0,0,446,818,763,845,22,739,137,50,108,0,278,20,584,430,14,60,153
"MYDGF",552,119,324,139,3,504,51,160,829,0,119,25,11,175,123,218,97,938,12,61,639,824,63,125,768,36,536,1,0,0,428,73,71,20,539,17,175,701,570,228,118,22,21,49,525,136,115,773,437,87,278,0,5,47,747,56,533,186
"PPP2R5B",0,28,162,275,924,116,447,92,959,2,995,427,145,200,57,113,158,0,233,180,184,5,352,470,238,5,586,30,0,957,714,0,532,942,747,266,87,744,5,258,6,32,756,0,1,79,738,425,60,381,20,5,0,988,457,220,297,11
"GOSR2",49,7,633,607,225,423,187,721,62,702,906,5,59,45,7,317,219,20,867,30,370,899,549,88,1,63,222,85,864,7,302,16,114,113,637,83,592,463,3,500,916,465,606,22,160,639,236,128,400,372,584,47,988,0,897,314,926,836
"ATF4",3,911,300,457,787,349,634,155,829,616,750,192,843,835,353,930,953,776,977,854,366,30,143,811,767,352,164,924,309,150,978,766,77,294,225,171,973,595,105,180,6,871,273,809,798,241,557,69,200,918,430,747,457,897,0,625,771,227
"GFPT1",74,112,2,5,670,737,701,865,10,81,704,8,282,139,0,138,803,83,357,207,469,868,4,221,0,576,27,502,135,73,249,287,1,206,45,27,86,60,2,0,207,96,610,76,263,225,684,4,104,107,14,56,220,314,625,0,522,428
"PDIA6",209,914,11,5,219,16,901,514,69,330,648,287,434,592,0,123,47,167,213,10,498,606,53,248,9,908,462,101,639,987,17,900,15,495,148,25,11,181,12,2,96,88,809,415,754,5,672,19,81,51,60,533,297,926,771,522,0,761
"ATF3",725,476,862,900,15,640,576,795,621,717,709,313,187,719,192,855,916,285,28,159,338,779,901,586,599,139,922,102,245,36,514,73,152,284,114,737,969,74,822,275,700,809,192,919,166,744,865,75,747,621,153,186,11,836,227,428,761,0
