"","CCL2","FKBP14","ACADVL","ADD1","EDEM1","HSP90B1","CUL7","WIPI1","PLA2G4B","TLN1","KLHDC3","SEC31A","XBP1","HERPUD1","DCTN1","SRPRB","HSPA5","DDX11","TATDN2","SYVN1","DNAJB11","EXTL1","ATP6V0D1","HDGF","EXTL2","CTDSP2","DDIT3","SHC1","TSPYL2","TPP1","PDIA5","EXTL3","ARFGAP1","DNAJB9","SULT1A3","DNAJC3","SERP1","IGFBP1","YIF1A","ZBTB17","LMNA","WFS1","KDELR3","CXCL8","CALR","HYOU1","GSK3A","ASNS","PREB","SSR1","CXXC1","MYDGF","PPP2R5B","GOSR2","ATF4","GFPT1","PDIA6","ATF3"
"HDGF",365,959,916,877,262,742,372,319,513,42,23,236,616,439,289,0,526,359,6,69,43,457,924,0,389,350,821,822,45,775,335,43,848,453,998,550,27,180,659,203,162,997,299,571,796,290,602,444,20,996,737,858,816,875,364,528,396,980
"EXTL2",338,117,925,810,104,992,985,146,673,977,941,900,574,787,289,368,464,42,308,207,248,521,871,389,0,647,422,91,221,716,251,48,837,371,160,908,44,295,144,814,290,552,761,38,419,723,687,483,393,128,842,852,494,860,187,885,376,254
"CTDSP2",615,313,15,305,69,74,69,339,765,529,187,520,903,933,534,19,238,143,302,668,137,280,961,350,647,0,554,872,36,239,432,747,908,563,789,624,94,374,829,148,856,82,337,155,910,274,622,407,358,167,368,906,738,437,848,191,6,662
"DDIT3",810,483,372,552,863,927,401,102,212,786,696,689,525,685,696,871,476,439,926,861,999,687,347,821,422,554,0,884,747,295,593,101,64,578,970,281,846,721,512,395,462,392,144,543,679,116,844,581,356,563,584,435,201,501,344,834,877,899
"SHC1",246,320,400,863,11,300,332,179,944,26,332,357,999,634,337,7,208,315,195,392,8,756,898,822,91,872,884,0,21,408,579,521,985,962,527,964,25,615,787,740,62,387,239,357,541,252,784,439,30,699,706,610,797,79,574,543,54,770
"TSPYL2",227,116,331,674,23,161,308,272,414,91,300,4,74,947,366,37,67,13,136,83,262,386,815,45,221,36,747,21,0,41,245,213,470,595,25,106,33,826,116,74,189,910,810,160,57,51,135,394,75,119,44,54,172,132,370,343,52,509
"TPP1",497,828,976,747,88,246,827,143,618,740,630,812,894,497,742,776,746,68,226,423,32,669,860,775,716,239,295,408,41,0,972,770,825,62,474,792,308,807,662,909,232,438,692,205,394,752,250,972,264,830,417,925,922,863,784,227,617,949
"PDIA5",159,468,59,459,983,411,831,413,87,155,196,465,524,160,280,185,248,65,228,312,748,42,786,335,251,432,593,579,245,972,0,21,133,81,182,8,990,166,274,98,138,589,46,792,888,437,145,698,12,455,78,697,514,921,319,698,906,481
"EXTL3",431,756,921,875,44,377,488,180,628,166,4,602,908,391,734,58,480,281,4,404,95,527,656,43,48,747,101,521,213,770,21,0,973,501,929,492,79,300,559,318,200,770,288,786,145,375,428,884,27,105,996,487,878,594,928,379,781,298
"ARFGAP1",335,660,334,649,350,520,110,918,585,841,122,924,207,379,137,581,628,40,340,223,424,134,893,848,837,908,64,985,470,825,133,973,0,135,604,468,352,158,607,889,780,212,856,141,211,268,269,19,647,241,138,27,896,19,384,5,665,654
"DNAJB9",947,733,546,277,703,991,791,782,322,232,150,157,37,45,607,446,245,187,999,797,578,548,572,453,371,563,578,962,595,62,81,501,135,0,908,766,761,495,306,650,988,648,182,223,424,546,595,206,915,177,359,506,292,667,862,382,497,599
"SULT1A3",566,673,689,916,251,153,310,856,778,549,720,187,597,812,40,216,549,334,113,262,31,441,82,998,160,789,970,527,25,474,182,929,604,908,0,489,16,140,393,638,580,150,262,45,260,262,245,799,989,636,257,356,178,465,892,279,733,654
"DNAJC3",655,959,258,539,964,225,699,806,843,622,798,383,732,124,717,353,791,117,586,874,661,670,587,550,908,624,281,964,106,792,8,492,468,766,489,0,511,884,633,779,733,936,662,736,177,585,303,341,217,581,815,58,635,268,945,748,977,835
"SERP1",145,88,657,583,584,49,211,134,144,63,518,90,89,933,200,47,4,43,191,400,798,783,537,27,44,94,846,25,33,308,990,79,352,761,16,511,0,345,774,112,45,963,368,612,393,31,122,161,1,197,61,647,499,66,112,269,6,793
"IGFBP1",453,668,2,125,829,860,133,106,66,495,365,304,782,708,287,836,713,751,431,703,640,363,461,180,295,374,721,615,826,807,166,300,158,495,140,884,345,0,902,3,836,361,845,595,809,576,798,230,778,933,354,571,642,956,19,483,876,633
"YIF1A",932,733,431,556,771,532,50,846,185,575,27,815,875,902,130,302,341,93,661,836,775,702,885,659,144,829,512,787,116,662,274,559,607,306,393,633,774,902,0,611,512,187,658,163,994,945,538,741,315,817,521,570,898,14,440,107,546,967
"ZBTB17",102,826,519,210,680,351,46,167,697,227,980,112,859,41,864,20,780,210,194,80,205,345,482,203,814,148,395,740,74,909,98,318,889,650,638,779,112,3,611,0,318,519,37,87,593,762,468,582,515,686,88,676,826,460,851,406,382,768
"LMNA",271,78,194,293,349,360,722,72,244,317,500,71,811,922,251,31,797,548,726,317,54,961,334,162,290,856,462,62,189,232,138,200,780,988,580,733,45,836,512,318,0,929,309,254,299,909,949,821,186,285,987,801,208,351,570,814,94,588
"WFS1",756,197,756,687,206,731,473,887,671,619,982,933,874,451,417,920,503,125,385,143,814,836,742,997,552,82,392,387,910,438,589,770,212,648,150,936,963,361,187,519,929,0,831,449,549,605,657,340,453,741,906,376,175,439,667,618,256,379
"KDELR3",326,514,5,422,197,557,994,94,170,291,177,283,913,313,825,573,905,379,78,805,305,426,678,299,761,337,144,239,810,692,46,288,856,182,262,662,368,845,658,37,309,831,0,723,431,771,704,883,470,782,75,131,662,690,279,169,994,898
"CXCL8",811,392,23,160,360,255,517,178,107,51,635,30,143,519,53,350,223,376,665,462,377,699,614,571,38,155,543,357,160,205,792,786,141,223,45,736,612,595,163,87,254,449,723,0,70,76,624,506,7,822,244,40,103,84,86,385,329,653
"CALR",403,458,611,934,750,334,539,666,281,140,363,810,542,389,574,275,998,55,136,896,345,821,563,796,419,910,679,541,57,394,888,145,211,424,260,177,393,809,994,593,299,549,431,70,0,636,363,830,40,946,172,798,967,625,736,110,294,850
"HYOU1",715,746,923,79,282,137,529,397,657,967,608,160,716,908,357,41,522,73,104,976,225,352,657,290,723,274,116,252,51,752,437,375,268,546,262,585,31,576,945,762,909,605,771,76,636,0,254,118,416,415,369,856,940,946,178,669,371,75
"GSK3A",269,754,790,486,336,170,127,661,498,717,612,499,465,999,23,484,967,110,131,295,284,330,878,602,687,622,844,784,135,250,145,428,269,595,245,303,122,798,538,468,949,657,704,624,363,254,0,405,371,389,171,768,647,83,795,98,169,133
"ASNS",796,618,963,323,320,149,532,38,537,177,589,228,7,539,253,274,282,64,362,960,701,651,694,444,483,407,581,439,394,972,698,884,19,206,799,341,161,230,741,582,821,340,883,506,830,118,405,0,931,477,321,383,284,608,149,470,470,257
"PREB",200,47,553,195,30,7,787,272,974,333,51,187,651,354,542,30,209,499,0,530,1,914,129,20,393,358,356,30,75,264,12,27,647,915,989,217,1,778,315,515,186,453,470,7,40,416,371,931,0,80,108,360,833,384,765,818,82,331
"SSR1",546,830,796,481,173,815,624,191,685,113,128,844,418,741,141,16,722,416,40,144,50,971,403,996,128,167,563,699,119,830,455,105,241,177,636,581,197,933,817,686,285,741,782,822,946,415,389,477,80,0,721,536,984,309,519,615,161,754
"CXXC1",593,823,406,556,370,111,604,701,426,72,798,178,592,389,437,54,841,43,47,801,176,710,647,737,842,368,584,706,44,417,78,996,138,359,257,815,61,354,521,88,987,906,75,244,172,369,171,321,108,721,0,243,539,439,448,334,806,791
"MYDGF",484,461,814,490,716,319,191,700,51,837,33,376,625,693,779,489,738,35,833,754,995,683,117,858,852,906,435,610,54,925,697,487,27,506,356,58,647,571,570,676,801,376,131,40,798,856,768,383,360,536,243,0,750,249,373,454,315,997
"PPP2R5B",689,821,997,999,528,483,166,838,851,563,29,498,687,255,347,653,461,234,425,786,335,188,602,816,494,738,201,797,172,922,514,878,896,292,178,635,499,642,898,826,208,175,662,103,967,940,647,284,833,984,539,750,0,338,368,331,554,117
"GOSR2",589,697,582,283,66,353,406,469,99,792,588,485,795,379,867,352,679,319,284,159,71,394,927,875,860,437,501,79,132,863,921,594,19,667,465,268,66,956,14,460,351,439,690,84,625,946,83,608,384,309,439,249,338,0,899,822,160,429
"ATF4",489,747,411,296,386,454,256,100,927,295,548,345,514,67,68,83,578,136,128,684,372,413,596,364,187,848,344,574,370,784,319,928,384,862,892,945,112,19,440,851,570,667,279,86,736,178,795,149,765,519,448,373,368,899,0,484,722,813
"GFPT1",860,157,414,339,240,558,153,613,212,627,780,54,396,202,287,292,134,669,269,64,314,996,886,528,885,191,834,543,343,227,698,379,5,382,279,748,269,483,107,406,814,618,169,385,110,669,98,470,818,615,334,454,331,822,484,0,420,335
"PDIA6",723,340,618,269,39,777,519,60,736,85,198,655,361,622,844,143,756,78,35,600,9,960,358,396,376,6,877,54,52,617,906,781,665,497,733,977,6,876,546,382,94,256,994,329,294,371,169,470,82,161,806,315,554,160,722,420,0,529
"ATF3",660,704,646,781,702,572,238,748,350,346,972,796,312,981,439,360,434,190,399,375,687,107,209,980,254,662,899,770,509,949,481,298,654,599,654,835,793,633,967,768,588,379,898,653,850,75,133,257,331,754,791,997,117,429,813,335,529,0
