"","CCL2","FKBP14","ACADVL","ADD1","EDEM1","HSP90B1","CUL7","WIPI1","PLA2G4B","TLN1","KLHDC3","SEC31A","XBP1","HERPUD1","DCTN1","SRPRB","HSPA5","DDX11","TATDN2","SYVN1","DNAJB11","EXTL1","ATP6V0D1","HDGF","EXTL2","CTDSP2","DDIT3","SHC1","TSPYL2","TPP1","PDIA5","EXTL3","ARFGAP1","DNAJB9","SULT1A3","DNAJC3","SERP1","IGFBP1","YIF1A","ZBTB17","LMNA","WFS1","KDELR3","CXCL8","CALR","HYOU1","GSK3A","ASNS","PREB","SSR1","CXXC1","MYDGF","PPP2R5B","GOSR2","ATF4","GFPT1","PDIA6","ATF3"
"HDGF",172,701,867,199,390,84,394,183,42,224,952,959,538,183,928,998,456,704,65,2,350,455,862,0,674,868,844,361,753,288,505,976,359,966,906,747,953,127,1,379,690,34,817,895,18,262,964,720,979,439,660,0,881,987,678,218,264,380
"EXTL2",903,929,219,13,462,154,750,184,69,900,679,434,420,764,149,803,368,327,312,285,585,37,153,674,0,70,269,9,12,668,269,136,39,588,873,104,323,479,158,513,29,1,277,288,64,296,130,165,692,464,532,0,371,183,655,371,217,29
"CTDSP2",5,531,731,153,745,924,524,742,223,239,847,180,348,324,107,178,658,845,170,36,594,349,859,868,70,0,958,142,755,623,77,621,474,218,979,735,446,169,0,306,143,3,276,73,345,501,347,620,976,650,514,14,492,556,712,965,925,310
"DDIT3",12,79,246,171,360,975,444,733,985,76,812,788,22,583,94,729,483,712,340,942,88,438,929,844,269,958,0,482,169,186,924,406,671,638,565,537,271,243,194,997,150,175,416,75,255,550,120,432,559,912,825,773,134,788,358,199,507,88
"SHC1",7,79,454,310,619,428,929,681,334,981,347,908,350,423,400,395,301,665,21,502,497,53,396,361,9,142,482,0,879,3,217,670,399,23,767,855,616,374,22,313,185,103,469,2,904,969,954,918,733,871,522,302,655,978,842,60,234,517
"TSPYL2",26,87,582,37,382,806,703,57,653,873,500,785,88,840,539,643,545,209,150,699,646,15,232,753,12,755,169,879,0,117,511,525,432,431,745,998,543,901,321,528,90,393,253,310,830,526,382,175,609,909,33,779,10,709,754,292,959,659
"TPP1",366,54,640,1,0,771,483,116,166,297,321,448,139,241,0,276,275,297,112,240,206,22,226,288,668,623,186,3,117,0,35,5,0,4,800,634,841,628,199,69,0,0,329,879,72,1000,0,53,549,849,46,0,96,948,389,502,562,27
"PDIA5",68,199,640,818,966,614,88,230,284,72,934,28,553,294,260,439,568,428,924,696,315,574,330,505,269,77,924,217,511,35,0,11,362,763,119,420,625,13,203,735,861,617,258,533,918,474,416,454,911,108,1000,725,93,153,598,26,279,344
"EXTL3",36,245,989,221,670,791,142,268,201,796,265,864,819,397,639,569,531,369,151,57,660,108,6,976,136,621,406,670,525,5,11,0,129,927,240,84,949,298,14,583,130,0,608,5,176,749,995,500,291,302,875,13,87,92,626,940,153,496
"ARFGAP1",0,19,46,25,849,667,15,803,586,32,48,80,958,219,79,372,568,222,6,2,60,388,0,359,39,474,671,399,432,0,362,129,0,880,736,2,184,612,26,240,34,43,286,526,188,183,84,157,684,42,37,20,2,19,202,129,91,790
"DNAJB9",575,505,457,217,107,10,25,197,180,21,343,52,727,631,873,132,426,491,730,253,804,52,272,966,588,218,638,23,431,4,763,927,880,0,765,918,955,298,847,705,260,947,89,188,609,582,323,831,970,51,647,730,121,262,710,145,165,2
"SULT1A3",95,789,917,402,767,958,163,292,991,268,131,332,95,886,652,191,559,459,424,896,140,765,784,906,873,979,565,767,745,800,119,240,736,765,0,581,811,139,369,772,806,858,380,452,45,95,757,691,377,331,712,373,510,352,472,340,363,377
"DNAJC3",52,983,335,620,675,2,342,938,40,71,949,633,989,710,111,649,305,23,736,75,94,991,829,747,104,735,537,855,998,634,420,84,2,918,581,0,490,620,29,263,164,0,66,359,22,539,823,89,507,822,91,4,680,519,351,364,233,53
"SERP1",855,474,924,882,937,159,427,409,307,79,627,845,658,224,352,519,970,13,675,51,819,938,502,953,323,446,271,616,543,841,625,949,184,955,811,490,0,713,14,248,729,7,332,988,174,979,610,457,62,754,281,58,697,181,692,355,92,178
"IGFBP1",13,737,363,509,989,826,610,769,411,493,556,732,322,797,732,950,941,124,165,33,242,240,657,127,479,169,243,374,901,628,13,298,612,298,139,620,713,0,14,641,910,797,513,116,605,361,779,614,676,929,711,465,201,769,435,670,531,888
