"","CCL2","FKBP14","ACADVL","ADD1","EDEM1","HSP90B1","CUL7","WIPI1","PLA2G4B","TLN1","KLHDC3","SEC31A","XBP1","HERPUD1","DCTN1","SRPRB","HSPA5","DDX11","TATDN2","SYVN1","DNAJB11","EXTL1","ATP6V0D1","HDGF","EXTL2","CTDSP2","DDIT3","SHC1","TSPYL2","TPP1","PDIA5","EXTL3","ARFGAP1","DNAJB9","SULT1A3","DNAJC3","SERP1","IGFBP1","YIF1A","ZBTB17","LMNA","WFS1","KDELR3","CXCL8","CALR","HYOU1","GSK3A","ASNS","PREB","SSR1","CXXC1","MYDGF","PPP2R5B","GOSR2","ATF4","GFPT1","PDIA6","ATF3"
"WFS1",726,619,484,753,549,592,134,660,233,294,375,379,331,446,265,128,110,392,711,878,2,62,169,824,675,890,307,744,739,741,989,854,905,643,778,680,427,555,17,189,569,0,465,428,113,826,925,228,555,951,725,844,379,551,17,819,547,627
"KDELR3",160,711,989,528,795,763,496,700,176,195,872,132,63,488,760,929,865,943,642,276,204,258,437,161,460,694,505,500,63,988,638,632,835,247,167,846,827,862,254,501,153,465,0,441,354,988,769,297,21,213,921,186,487,952,933,278,988,123
"CXCL8",70,550,95,744,102,674,467,285,895,20,42,856,444,0,403,349,177,363,352,21,695,8,1,138,27,592,393,698,82,250,662,985,321,58,592,118,718,23,578,784,731,428,441,0,769,464,843,444,64,563,373,959,117,579,32,332,934,426
"CALR",277,439,779,710,470,71,154,775,963,422,373,370,765,809,535,363,92,391,161,780,570,300,983,363,190,200,602,121,992,899,736,3,964,106,838,20,48,639,860,945,869,113,354,769,0,150,712,410,267,1,176,240,593,56,804,1,62,559
"HYOU1",873,985,95,673,655,160,152,358,573,459,128,816,590,820,419,567,391,744,810,537,510,362,825,538,978,590,193,482,522,743,733,60,699,403,453,181,228,964,249,878,742,826,988,464,150,0,986,173,945,132,425,572,519,251,108,76,133,888
"GSK3A",458,358,91,790,988,665,3,448,952,814,479,647,473,757,967,823,839,377,362,893,736,702,397,304,753,286,867,236,170,378,454,285,876,857,840,866,255,367,548,334,975,925,769,843,712,986,0,699,740,152,865,716,200,216,766,380,697,391
"ASNS",705,231,124,3,41,863,331,3,591,266,23,506,154,34,9,16,15,636,286,285,40,367,24,849,552,845,306,939,422,506,288,720,281,24,360,558,178,388,864,103,126,228,297,444,410,173,699,0,965,847,130,192,465,533,931,981,215,33
"PREB",90,74,872,52,727,676,614,568,909,525,599,842,13,844,764,889,517,207,283,665,354,782,306,174,56,349,301,536,342,295,398,49,156,951,886,774,800,453,33,534,715,555,21,64,267,945,740,965,0,914,832,607,976,549,6,769,42,486
"SSR1",657,959,603,835,620,683,649,35,216,27,248,260,351,915,319,354,72,491,439,507,9,267,368,428,957,638,463,322,179,741,224,150,655,852,469,984,129,686,9,409,133,951,213,563,1,132,152,847,914,0,426,39,929,308,600,174,52,157
"CXXC1",696,156,175,617,65,260,733,813,301,131,466,707,716,948,403,726,651,634,184,512,94,28,510,786,975,427,326,916,900,275,537,362,931,479,903,600,861,180,431,94,701,725,921,373,176,425,865,130,832,426,0,980,980,831,629,443,641,440
"MYDGF",613,500,523,993,416,95,43,541,322,529,122,560,713,188,178,669,995,503,679,243,142,520,181,33,52,464,825,695,141,810,904,185,555,472,970,812,666,947,838,786,357,844,186,959,240,572,716,192,607,39,980,0,751,158,887,274,312,96
"PPP2R5B",214,179,567,422,39,636,367,986,358,860,423,841,647,552,992,533,529,683,316,801,603,345,504,572,852,384,281,516,559,824,875,655,887,162,134,492,291,501,629,109,139,379,487,117,593,519,200,465,976,929,980,751,0,862,164,654,814,127
"GOSR2",347,915,913,497,685,821,789,95,712,344,462,39,230,861,608,319,388,736,323,339,129,415,784,497,481,615,589,825,149,317,517,25,673,577,166,924,222,617,185,467,136,551,952,579,56,251,216,533,549,308,831,158,862,0,831,809,313,85
"ATF4",166,416,594,607,895,326,866,460,122,764,808,685,412,188,636,406,343,204,916,512,307,770,114,737,7,578,100,665,69,714,619,21,558,276,240,578,442,165,467,129,811,17,933,32,804,108,766,931,6,600,629,887,164,831,0,572,134,594
"GFPT1",632,659,442,723,871,320,273,657,150,944,123,803,567,541,558,174,72,410,179,977,2,0,640,761,936,454,420,885,444,302,183,52,511,959,653,727,43,363,23,236,827,819,278,332,1,76,380,981,769,174,443,274,654,809,572,0,226,215
"PDIA6",852,693,437,337,494,437,803,606,693,123,159,294,18,963,152,243,342,859,491,722,92,321,929,822,991,694,503,367,64,936,481,151,400,946,997,102,878,896,109,516,655,547,988,934,62,133,697,215,42,52,641,312,814,313,134,226,0,409
"ATF3",131,32,298,371,725,513,140,705,476,907,791,921,381,122,725,313,774,35,604,880,753,498,85,101,132,226,345,98,424,97,159,651,572,415,580,483,436,937,962,799,556,627,123,426,559,888,391,33,486,157,440,96,127,85,594,215,409,0
