"","CCL2","FKBP14","ACADVL","ADD1","EDEM1","HSP90B1","CUL7","WIPI1","PLA2G4B","TLN1","KLHDC3","SEC31A","XBP1","HERPUD1","DCTN1","SRPRB","HSPA5","DDX11","TATDN2","SYVN1","DNAJB11","EXTL1","ATP6V0D1","HDGF","EXTL2","CTDSP2","DDIT3","SHC1","TSPYL2","TPP1","PDIA5","EXTL3","ARFGAP1","DNAJB9","SULT1A3","DNAJC3","SERP1","IGFBP1","YIF1A","ZBTB17","LMNA","WFS1","KDELR3","CXCL8","CALR","HYOU1","GSK3A","ASNS","PREB","SSR1","CXXC1","MYDGF","PPP2R5B","GOSR2","ATF4","GFPT1","PDIA6","ATF3"
"WFS1",866,181,26,998,347,961,976,191,34,82,131,39,212,217,0,0,799,134,330,846,687,366,483,79,221,777,530,189,50,804,310,761,865,13,455,151,127,765,17,30,566,0,0,593,313,519,116,597,600,2,0,10,630,3,61,101,146,734
"KDELR3",411,813,6,65,66,228,236,728,646,27,988,640,313,220,18,36,826,118,808,75,18,139,198,365,878,924,127,905,126,67,332,238,871,755,23,40,883,64,619,28,29,0,0,143,221,806,463,35,766,23,922,326,904,483,594,515,602,364
"CXCL8",758,405,861,293,217,162,166,95,496,610,528,78,374,161,166,298,417,669,75,70,16,165,195,993,377,408,121,441,257,712,589,999,681,548,945,404,321,272,70,661,75,593,143,0,800,800,401,302,810,530,84,742,470,623,539,631,491,897
"CALR",550,611,56,37,441,321,360,35,27,918,684,893,36,10,536,98,352,978,622,823,53,296,470,11,338,924,147,120,29,795,148,981,356,395,336,439,591,324,50,641,194,313,221,800,0,699,264,150,56,455,604,26,68,522,948,745,203,923
"HYOU1",598,415,801,260,461,17,648,118,738,491,396,941,129,426,751,975,51,829,953,458,71,592,183,35,246,486,327,59,160,499,991,662,465,909,405,570,645,940,722,832,146,519,806,800,699,0,921,458,620,104,808,886,45,496,823,320,954,222
"GSK3A",281,664,149,382,147,748,565,178,782,287,841,178,407,230,383,75,426,240,979,239,436,325,59,442,348,199,950,599,445,68,763,807,382,812,148,994,179,567,115,264,40,116,463,401,264,921,0,830,574,355,195,112,332,163,897,391,976,246
"ASNS",29,286,531,387,1,598,344,173,475,776,917,19,771,838,603,479,164,640,25,191,897,13,336,503,823,122,900,271,662,15,929,103,308,26,812,175,487,705,813,744,176,597,35,302,150,458,830,0,767,7,873,204,79,49,81,793,266,254
"PREB",3,582,754,815,925,896,221,264,879,118,561,779,910,253,335,584,353,245,459,602,711,951,173,556,359,312,388,335,57,133,805,678,883,339,550,441,168,183,9,294,135,600,766,810,56,620,574,767,0,909,316,26,88,426,986,257,651,285
"SSR1",973,34,72,140,315,236,182,498,718,348,369,965,320,272,10,4,316,581,722,606,958,263,466,413,502,689,639,205,109,615,52,34,138,57,312,740,57,41,307,29,453,2,23,530,455,104,355,7,909,0,9,838,618,73,331,751,433,273
"CXXC1",38,494,0,0,119,713,12,115,1,43,643,795,439,317,3,110,649,415,597,34,979,0,2,234,748,918,40,267,6,19,674,596,29,920,0,634,647,8,62,0,16,0,922,84,604,808,195,873,316,9,0,346,337,291,596,205,622,793
"MYDGF",413,967,56,13,66,345,107,53,19,596,6,154,4,1,523,361,932,468,199,347,93,607,648,503,832,528,460,606,28,273,728,758,239,352,130,4,340,265,0,493,941,10,326,742,26,886,112,204,26,838,346,0,957,61,738,350,488,193
"PPP2R5B",215,130,836,289,660,323,176,12,112,786,449,144,36,191,942,563,110,0,348,56,374,127,918,495,533,492,0,336,912,609,982,735,95,148,790,151,938,12,187,536,576,630,904,470,68,45,332,79,88,618,337,957,0,22,575,194,883,654
"GOSR2",227,0,835,737,48,934,36,45,85,922,410,120,655,478,145,935,571,65,64,794,424,309,551,922,339,82,587,106,260,262,611,0,972,843,864,281,170,907,700,965,600,3,483,623,522,496,163,49,426,73,291,61,22,0,41,283,809,736
"ATF4",653,705,14,195,38,397,745,149,344,583,35,350,574,488,499,340,789,100,487,592,265,898,5,892,893,776,444,116,916,206,261,453,731,451,9,819,696,257,181,204,11,61,594,539,948,823,897,81,986,331,596,738,575,41,0,863,967,465
"GFPT1",859,610,503,702,177,738,158,953,404,3,971,10,419,20,905,652,495,167,302,741,588,268,149,532,436,602,667,389,247,131,775,14,414,315,592,56,387,462,642,906,789,101,515,631,745,320,391,793,257,751,205,350,194,283,863,0,848,691
"PDIA6",273,49,804,179,412,670,198,341,763,534,614,940,791,935,765,415,108,906,680,131,270,727,774,339,302,598,518,177,215,730,578,399,699,214,135,847,449,862,258,933,256,146,602,491,203,954,976,266,651,433,622,488,883,809,967,848,0,350
"ATF3",73,712,494,997,526,43,223,64,325,984,857,146,176,370,412,506,87,925,54,412,188,818,421,552,57,275,577,315,482,657,103,843,908,974,622,827,500,307,841,718,11,734,364,897,923,222,246,254,285,273,793,193,654,736,465,691,350,0
