"","CCL2","FKBP14","ACADVL","ADD1","EDEM1","HSP90B1","CUL7","WIPI1","PLA2G4B","TLN1","KLHDC3","SEC31A","XBP1","HERPUD1","DCTN1","SRPRB","HSPA5","DDX11","TATDN2","SYVN1","DNAJB11","EXTL1","ATP6V0D1","HDGF","EXTL2","CTDSP2","DDIT3","SHC1","TSPYL2","TPP1","PDIA5","EXTL3","ARFGAP1","DNAJB9","SULT1A3","DNAJC3","SERP1","IGFBP1","YIF1A","ZBTB17","LMNA","WFS1","KDELR3","CXCL8","CALR","HYOU1","GSK3A","ASNS","PREB","SSR1","CXXC1","MYDGF","PPP2R5B","GOSR2","ATF4","GFPT1","PDIA6","ATF3"
"EXTL2",985,385,74,135,722,730,373,668,796,41,126,242,318,787,213,167,729,412,653,437,269,987,493,259,0,425,941,239,747,395,159,90,557,655,585,749,950,194,817,138,48,571,433,815,18,31,108,809,701,211,210,98,917,595,482,960,959,22
"CTDSP2",637,968,415,394,704,691,982,992,323,344,6,911,593,668,282,760,627,984,945,159,926,212,584,425,425,0,840,673,177,668,495,550,442,449,657,885,750,288,773,902,286,781,159,804,26,719,229,951,873,920,656,200,519,743,551,876,839,509
"DDIT3",256,610,974,820,915,865,266,414,123,616,594,871,596,918,388,618,530,842,873,217,583,548,684,762,941,840,0,758,27,293,692,513,74,779,386,496,337,76,19,498,899,916,274,570,365,314,958,970,18,258,811,872,649,138,643,227,158,442
"SHC1",47,448,876,538,584,525,201,108,381,62,58,508,53,269,988,125,266,471,518,202,363,193,390,460,239,673,758,0,658,308,361,272,518,135,719,628,609,86,620,774,162,829,44,533,129,123,724,390,926,497,899,11,362,15,608,572,309,363
"TSPYL2",367,534,942,601,565,733,959,692,780,108,738,794,378,944,699,593,585,952,869,987,768,388,335,670,747,177,27,658,0,650,678,691,126,958,951,420,270,830,449,740,462,243,237,957,815,225,569,922,204,265,635,104,750,533,325,757,809,714
"TPP1",70,244,883,137,293,535,802,965,473,744,603,172,115,998,959,852,299,763,783,127,739,580,186,644,395,668,293,308,650,0,852,521,890,662,309,924,330,446,394,836,546,776,7,415,732,423,748,508,608,628,774,60,788,557,395,727,814,474
"PDIA5",70,153,814,250,318,416,250,585,267,747,276,335,798,884,518,663,86,558,501,699,481,430,539,71,159,495,692,361,678,852,0,416,930,914,760,354,489,360,911,505,308,582,920,292,266,176,411,519,876,3,671,66,809,51,320,880,77,303
"EXTL3",711,165,685,725,958,796,15,173,399,370,141,602,701,731,378,109,474,230,384,228,259,108,231,389,90,550,513,272,691,521,416,0,63,272,791,765,823,964,774,697,843,514,519,138,124,164,343,225,259,118,625,11,824,626,117,778,215,544
"ARFGAP1",426,396,855,945,195,242,998,156,114,574,240,363,658,71,591,993,243,433,478,725,816,135,761,538,557,442,74,518,126,890,930,63,0,81,147,73,280,231,505,366,485,32,977,414,248,128,258,330,61,637,984,186,135,102,92,194,95,192
"DNAJB9",883,647,107,144,665,493,394,148,256,393,214,931,259,56,736,798,853,653,361,153,90,659,90,833,655,449,779,135,958,662,914,272,81,0,294,499,857,29,974,63,17,256,116,110,851,797,951,758,142,609,415,433,729,612,533,746,674,592
"SULT1A3",27,744,564,105,935,931,228,177,444,449,534,271,985,785,668,899,538,449,843,854,42,509,933,654,585,657,386,719,951,309,760,791,147,294,0,985,828,85,608,980,277,375,455,870,941,515,387,332,960,601,967,452,698,39,26,857,434,31
"DNAJC3",368,100,156,716,376,338,497,336,92,569,643,790,288,965,805,231,486,472,336,841,344,688,591,263,749,885,496,628,420,924,354,765,73,499,985,0,990,403,310,693,610,274,30,838,259,230,667,446,103,926,335,179,832,799,478,374,847,830
"SERP1",952,574,969,514,711,840,934,680,923,50,812,463,811,680,482,425,296,629,243,482,308,416,782,455,950,750,337,609,270,330,489,823,280,857,828,990,0,959,712,337,978,816,633,770,391,333,259,247,313,786,548,476,807,596,362,717,688,975
"IGFBP1",3,459,362,724,233,487,1000,161,365,488,87,172,855,669,898,136,154,73,423,137,555,256,946,193,194,288,76,86,830,446,360,964,231,29,85,403,959,0,537,479,833,814,971,16,721,80,994,288,826,337,749,99,9,88,403,56,70,781
"YIF1A",888,622,764,584,424,172,665,342,298,133,287,870,731,787,522,464,834,845,74,65,513,884,589,437,817,773,19,620,449,394,911,774,505,974,608,310,712,537,0,467,760,746,537,724,6,2,8,245,827,597,935,368,282,422,615,217,661,694
"ZBTB17",592,614,962,516,583,766,668,113,942,866,901,612,794,707,49,378,439,694,783,760,598,689,776,888,138,902,498,774,740,836,505,697,366,63,980,693,337,479,467,0,461,469,564,426,854,970,158,578,42,191,427,84,928,910,556,412,475,879
"LMNA",39,334,102,847,572,977,154,183,81,676,231,21,410,581,681,322,111,488,599,260,931,61,795,741,48,286,899,162,462,546,308,843,485,17,277,610,978,833,760,461,0,548,208,357,910,476,666,662,444,137,393,44,52,27,396,202,47,460
"WFS1",276,561,801,842,612,333,86,349,816,633,675,925,825,86,627,867,901,566,250,748,518,510,594,659,571,781,916,829,243,776,582,514,32,256,375,274,816,814,746,469,548,0,440,393,902,859,935,168,862,790,523,43,741,821,182,663,954,622
"KDELR3",72,61,622,43,46,262,698,506,498,304,468,132,377,8,309,310,175,450,208,149,470,102,65,428,433,159,274,44,237,7,920,519,977,116,455,30,633,971,537,564,208,440,0,478,189,178,143,625,669,154,931,431,58,32,824,292,324,738
"CXCL8",840,783,98,530,773,718,329,446,884,361,627,600,234,36,494,283,703,353,730,785,401,584,267,692,815,804,570,533,957,415,292,138,414,110,870,838,770,16,724,426,357,393,478,0,429,581,782,905,154,73,297,434,545,358,730,897,477,227
"CALR",282,15,403,804,61,233,561,763,33,623,123,285,729,433,313,205,30,194,174,637,949,700,456,49,18,26,365,129,815,732,266,124,248,851,941,259,391,721,6,854,910,902,189,429,0,512,767,613,198,375,331,271,712,317,35,751,208,694
"HYOU1",228,10,613,537,49,492,744,913,34,842,898,373,737,489,324,319,14,635,266,147,619,805,446,193,31,719,314,123,225,423,176,164,128,797,515,230,333,80,2,970,476,859,178,581,512,0,396,998,18,943,919,190,200,977,629,811,609,339
"GSK3A",384,245,138,708,67,420,908,913,122,822,632,563,751,619,994,971,872,990,190,511,778,544,297,372,108,229,958,724,569,748,411,343,258,951,387,667,259,994,8,158,666,935,143,782,767,396,0,451,101,526,189,647,756,934,744,712,942,324
"ASNS",662,782,760,517,877,734,663,453,635,652,805,858,990,242,235,365,354,871,578,378,322,870,200,625,809,951,970,390,922,508,519,225,330,758,332,446,247,288,245,578,662,168,625,905,613,998,451,0,170,740,721,332,774,111,414,392,826,795
"PREB",156,826,202,800,171,267,504,386,165,341,743,233,787,150,417,231,374,26,580,126,123,540,966,854,701,873,18,926,204,608,876,259,61,142,960,103,313,826,827,42,444,862,669,154,198,18,101,170,0,937,132,816,86,252,594,12,90,236
"SSR1",782,242,642,718,404,488,747,695,903,411,701,549,235,245,822,2,210,312,723,577,221,777,845,213,211,920,258,497,265,628,3,118,637,609,601,926,786,337,597,191,137,790,154,73,375,943,526,740,937,0,263,26,948,129,480,969,182,107
"CXXC1",330,634,668,243,670,666,22,180,865,278,68,475,915,592,883,288,594,280,995,889,546,553,423,855,210,656,811,899,635,774,671,625,984,415,967,335,548,749,935,427,393,523,931,297,331,919,189,721,132,263,0,20,551,729,440,271,483,600
"MYDGF",680,62,233,145,107,315,19,251,780,204,727,88,345,20,602,215,13,285,455,126,117,131,238,436,98,200,872,11,104,60,66,11,186,433,452,179,476,99,368,84,44,43,431,434,271,190,647,332,816,26,20,0,685,54,897,362,21,554
"PPP2R5B",88,397,662,113,602,627,322,424,319,371,895,680,14,141,872,296,785,627,375,105,118,541,664,583,917,519,649,362,750,788,809,824,135,729,698,832,807,9,282,928,52,741,58,545,712,200,756,774,86,948,551,685,0,731,452,801,499,853
"GOSR2",865,252,884,640,208,631,852,993,848,218,499,895,100,108,347,98,232,993,786,919,59,393,174,67,595,743,138,15,533,557,51,626,102,612,39,799,596,88,422,910,27,821,32,358,317,977,934,111,252,129,729,54,731,0,148,450,797,597
"ATF4",131,730,493,943,735,329,870,347,891,542,786,563,696,911,724,464,720,248,774,533,236,991,716,269,482,551,643,608,325,395,320,117,92,533,26,478,362,403,615,556,396,182,824,730,35,629,744,414,594,480,440,897,452,148,0,375,967,141
"GFPT1",777,850,361,358,648,494,146,478,192,939,705,826,776,637,220,658,1000,282,634,976,446,547,585,872,960,876,227,572,757,727,880,778,194,746,857,374,717,56,217,412,202,663,292,897,751,811,712,392,12,969,271,362,801,450,375,0,556,126
"PDIA6",888,129,448,867,51,784,834,492,587,310,750,356,365,617,279,67,582,941,833,752,132,424,381,352,959,839,158,309,809,814,77,215,95,674,434,847,688,70,661,475,47,954,324,477,208,609,942,826,90,182,483,21,499,797,967,556,0,88
"ATF3",815,44,811,719,133,258,51,279,845,422,999,362,671,612,893,720,78,243,285,492,717,976,268,345,22,509,442,363,714,474,303,544,192,592,31,830,975,781,694,879,460,622,738,227,694,339,324,795,236,107,600,554,853,597,141,126,88,0
