"","CCL2","FKBP14","ACADVL","ADD1","EDEM1","HSP90B1","CUL7","WIPI1","PLA2G4B","TLN1","KLHDC3","SEC31A","XBP1","HERPUD1","DCTN1","SRPRB","HSPA5","DDX11","TATDN2","SYVN1","DNAJB11","EXTL1","ATP6V0D1","HDGF","EXTL2","CTDSP2","DDIT3","SHC1","TSPYL2","TPP1","PDIA5","EXTL3","ARFGAP1","DNAJB9","SULT1A3","DNAJC3","SERP1","IGFBP1","YIF1A","ZBTB17","LMNA","WFS1","KDELR3","CXCL8","CALR","HYOU1","GSK3A","ASNS","PREB","SSR1","CXXC1","MYDGF","PPP2R5B","GOSR2","ATF4","GFPT1","PDIA6","ATF3"
"EXTL2",954,824,122,708,557,366,19,398,913,639,190,783,897,607,126,99,456,998,336,912,64,7,12,99,0,971,188,17,784,76,278,598,183,207,327,486,209,711,17,28,196,333,696,476,321,900,386,317,31,561,969,68,390,320,958,433,364,534
"CTDSP2",14,11,579,704,129,367,385,38,693,6,552,4,17,946,1000,187,834,775,7,42,413,394,31,833,971,0,65,494,431,58,245,553,636,439,49,6,758,923,747,452,326,686,0,200,953,177,778,953,295,24,148,610,171,640,486,4,317,742
"DDIT3",773,434,320,846,342,108,272,738,529,962,646,151,132,50,692,230,826,116,983,923,503,529,312,998,188,65,0,998,24,618,948,40,378,116,809,100,194,186,269,232,966,315,430,519,323,785,645,930,850,177,484,814,568,240,459,25,814,90
"SHC1",547,32,440,217,315,259,554,12,884,517,615,151,230,803,659,911,169,398,405,488,391,232,586,996,17,494,998,0,203,16,395,920,92,707,716,34,853,776,733,564,868,164,34,97,83,72,570,173,262,22,751,620,339,200,622,314,347,928
"TSPYL2",49,508,865,145,980,18,943,839,451,999,528,129,266,109,238,9,32,81,133,641,12,265,73,4,784,431,24,203,0,737,357,37,43,219,956,425,375,846,54,825,587,170,506,451,54,372,849,179,289,180,270,484,239,127,314,330,86,976
"TPP1",38,0,133,742,347,196,109,21,745,8,430,19,48,79,264,208,521,200,0,10,686,962,160,305,76,58,618,16,737,0,3,763,6,258,862,53,832,419,386,318,204,753,20,900,46,10,459,680,980,26,50,87,237,58,57,229,62,197
"PDIA5",0,25,144,460,885,822,61,28,75,2,256,907,256,980,556,207,676,696,687,147,213,66,2,700,278,245,948,395,357,3,0,645,12,323,354,160,267,641,121,644,3,977,23,16,482,468,820,259,434,75,1,564,15,160,74,283,678,917
"EXTL3",53,61,837,689,141,263,3,49,492,339,83,0,239,791,133,889,815,827,505,916,221,233,322,690,598,553,40,920,37,763,645,0,835,608,369,13,313,412,224,787,316,374,317,4,812,262,644,655,189,16,553,694,606,840,607,0,840,181
"ARFGAP1",0,69,150,171,737,48,597,10,226,33,823,582,855,852,357,687,41,349,945,245,83,996,73,951,183,636,378,92,43,6,12,835,0,689,858,992,837,558,193,935,10,196,5,530,670,173,958,489,235,719,193,215,109,625,774,436,238,679
"DNAJB9",11,299,62,484,672,598,81,836,110,141,66,585,159,397,810,984,842,86,544,407,923,730,673,641,207,439,116,707,219,258,323,608,689,0,31,44,391,796,329,352,102,731,651,46,871,832,943,6,383,780,2,973,794,952,475,567,499,311
