"","CCL2","FKBP14","ACADVL","ADD1","EDEM1","HSP90B1","CUL7","WIPI1","PLA2G4B","TLN1","KLHDC3","SEC31A","XBP1","HERPUD1","DCTN1","SRPRB","HSPA5","DDX11","TATDN2","SYVN1","DNAJB11","EXTL1","ATP6V0D1","HDGF","EXTL2","CTDSP2","DDIT3","SHC1","TSPYL2","TPP1","PDIA5","EXTL3","ARFGAP1","DNAJB9","SULT1A3","DNAJC3","SERP1","IGFBP1","YIF1A","ZBTB17","LMNA","WFS1","KDELR3","CXCL8","CALR","HYOU1","GSK3A","ASNS","PREB","SSR1","CXXC1","MYDGF","PPP2R5B","GOSR2","ATF4","GFPT1","PDIA6","ATF3"
"SULT1A3",249,93,984,856,18,484,294,719,64,595,448,271,787,859,898,0,730,22,1,15,418,2,137,236,972,203,112,136,6,643,322,31,8,338,0,35,75,810,469,559,888,913,458,118,698,92,170,34,744,156,7,883,0,0,82,3,300,262
"DNAJC3",782,698,594,52,6,22,0,1,264,442,726,543,630,152,415,599,914,134,24,653,330,124,702,659,30,428,534,1,156,955,800,114,518,461,35,0,120,893,0,281,242,18,0,760,102,9,3,76,13,322,42,373,75,250,31,545,97,417
"SERP1",21,13,139,2,147,108,0,338,387,26,0,7,3,591,2,579,335,140,1,845,461,0,1,12,669,2,762,748,0,147,4,11,554,43,75,120,0,526,1,10,689,16,121,539,8,10,27,9,24,13,267,7,0,64,45,107,5,414
"IGFBP1",852,533,636,504,86,22,273,644,425,716,118,14,749,26,11,958,102,267,627,948,839,788,226,46,695,681,443,99,333,488,279,308,461,399,810,893,526,0,618,391,635,8,765,501,68,780,600,819,194,803,192,339,69,722,956,125,611,105
"YIF1A",23,46,0,91,15,2,440,445,926,0,0,6,11,723,0,467,24,24,962,4,4,0,36,6,825,0,780,226,2,15,3,978,539,79,469,0,1,618,0,5,0,806,329,777,0,755,509,568,10,50,6,9,53,332,0,912,0,16
"ZBTB17",393,340,290,175,69,426,314,427,2,280,41,379,686,478,27,982,111,35,159,3,260,940,385,917,8,721,160,303,74,440,86,447,44,535,559,281,10,391,5,0,84,66,21,322,282,549,3,522,651,816,8,672,859,172,282,112,464,25
"LMNA",352,388,378,17,120,212,16,3,19,128,435,280,917,3,910,738,161,230,110,345,101,552,322,829,0,567,617,413,532,751,83,99,146,110,888,242,689,635,0,84,0,0,0,55,273,17,0,23,819,363,9,663,514,869,41,12,284,964
"WFS1",14,4,18,888,0,61,555,0,934,1,0,0,56,0,0,820,98,267,471,0,877,17,1,368,688,289,396,0,93,138,4,40,555,269,913,18,16,8,806,66,0,0,6,50,76,222,364,812,950,486,999,974,353,119,893,519,3,6
"KDELR3",5,0,1,666,4,4,353,3,439,0,0,5,2,0,0,600,0,0,871,0,105,0,0,0,31,0,494,0,0,2,1,507,918,614,458,0,121,765,329,21,0,6,0,609,18,214,363,434,420,0,192,129,6,253,47,953,0,11
"CXCL8",213,400,173,648,416,63,888,112,377,535,459,138,24,322,402,541,682,583,702,242,762,488,983,810,613,959,200,423,757,866,418,484,962,195,118,760,539,501,777,322,55,50,609,0,582,475,912,397,833,440,730,754,885,739,733,77,398,16
"CALR",628,912,754,151,62,24,0,0,768,53,546,250,179,4,821,549,344,738,37,547,624,100,615,727,0,710,319,49,630,16,341,80,558,968,698,102,8,68,0,282,273,76,18,582,0,10,1,0,895,650,614,611,84,780,543,617,95,119
"HYOU1",133,18,260,230,206,18,55,21,284,0,0,681,6,178,31,862,151,209,513,43,48,1,0,23,489,35,553,41,11,54,249,55,857,963,92,9,10,780,755,549,17,222,214,475,10,0,0,729,547,0,976,295,12,511,336,316,2,40
"GSK3A",16,0,8,781,44,5,832,54,910,0,0,0,3,86,0,62,0,2,90,20,96,0,0,0,60,0,256,0,0,44,0,970,112,369,170,3,27,600,509,3,0,364,363,912,1,0,0,993,70,0,16,8,0,23,198,39,0,0
"ASNS",184,1,242,988,723,0,11,19,90,1,0,739,0,182,6,603,37,296,10,180,67,0,0,1,869,24,91,487,2,0,84,50,137,715,34,76,9,819,568,522,23,812,434,397,0,729,993,0,122,0,886,214,0,823,283,985,2,200
"PREB",570,870,896,72,502,589,289,160,649,351,830,845,122,102,236,171,215,622,666,75,970,175,585,760,134,986,764,897,739,175,498,584,990,605,744,13,24,194,10,651,819,950,420,833,895,547,70,122,0,353,781,382,970,633,214,949,970,759
"SSR1",143,277,436,195,10,771,1,125,792,641,18,662,591,864,53,94,32,932,4,682,151,0,89,913,12,162,927,86,49,462,567,6,356,541,156,322,13,803,50,816,363,486,0,440,650,0,0,0,353,0,959,730,3,12,918,101,574,551
"CXXC1",305,72,0,183,8,660,549,3,3,2,2,577,362,219,22,911,210,29,231,9,172,964,638,787,46,61,807,19,916,172,559,973,1,930,7,42,267,192,6,8,9,999,192,730,614,976,16,886,781,959,0,187,510,765,32,734,781,834
"MYDGF",469,707,747,141,465,418,186,19,246,505,613,623,570,34,936,507,951,963,894,238,524,693,161,742,52,508,74,179,150,306,374,270,573,390,883,373,7,339,9,672,663,974,129,754,611,295,8,214,382,730,187,0,485,413,226,680,951,120
"PPP2R5B",822,2,870,761,827,475,0,806,493,0,1,881,1,533,1,210,682,133,0,7,674,4,0,3,2,113,135,630,330,9,749,1,860,979,0,75,0,69,53,859,514,353,6,885,84,12,0,0,970,3,510,485,0,804,895,358,9,920
"GOSR2",953,97,36,4,443,254,946,882,76,528,942,635,144,401,577,633,982,867,412,392,664,457,425,49,595,472,766,614,550,617,897,583,604,363,0,250,64,722,332,172,869,119,253,739,780,511,23,823,633,12,765,413,804,0,255,0,329,966
"ATF4",97,345,82,946,691,448,277,451,140,31,34,791,497,377,340,925,128,111,876,51,39,748,283,947,49,292,589,261,637,453,953,724,145,355,82,31,45,956,0,282,41,893,47,733,543,336,198,283,214,918,32,226,895,255,0,999,401,988
"GFPT1",125,750,203,62,868,581,471,694,65,244,724,106,104,373,214,29,126,979,235,384,466,112,630,363,209,674,923,834,58,20,252,361,161,543,3,545,107,125,912,112,12,519,953,77,617,316,39,985,949,101,734,680,358,0,999,0,74,382
"PDIA6",908,286,749,12,0,167,0,0,526,965,772,432,671,4,889,197,880,655,1,415,263,15,846,759,0,578,750,2,269,317,364,5,921,945,300,97,5,611,0,464,284,3,0,398,95,2,0,2,970,574,781,951,9,329,401,74,0,101
"ATF3",918,196,24,677,104,41,16,37,954,3,255,153,643,389,406,988,29,472,378,248,832,899,969,53,1,117,492,170,125,533,10,315,170,359,262,417,414,105,16,25,964,6,11,16,119,40,0,200,759,551,834,120,920,966,988,382,101,0
