"","CCL2","FKBP14","ACADVL","ADD1","EDEM1","HSP90B1","CUL7","WIPI1","PLA2G4B","TLN1","KLHDC3","SEC31A","XBP1","HERPUD1","DCTN1","SRPRB","HSPA5","DDX11","TATDN2","SYVN1","DNAJB11","EXTL1","ATP6V0D1","HDGF","EXTL2","CTDSP2","DDIT3","SHC1","TSPYL2","TPP1","PDIA5","EXTL3","ARFGAP1","DNAJB9","SULT1A3","DNAJC3","SERP1","IGFBP1","YIF1A","ZBTB17","LMNA","WFS1","KDELR3","CXCL8","CALR","HYOU1","GSK3A","ASNS","PREB","SSR1","CXXC1","MYDGF","PPP2R5B","GOSR2","ATF4","GFPT1","PDIA6","ATF3"
"CXCL8",825,45,476,516,748,378,817,210,750,456,523,816,309,12,672,11,204,557,370,175,39,57,404,412,215,181,99,248,712,646,364,249,671,875,833,608,4,24,531,597,510,570,622,0,407,608,723,495,186,165,253,0,579,85,693,551,120,411
"CALR",245,47,836,952,656,88,999,168,622,9,472,734,3,39,288,35,0,569,582,275,0,101,291,13,919,935,112,2,331,348,4,725,516,157,157,881,437,356,41,865,29,724,30,407,0,303,163,731,30,10,530,225,175,490,466,400,0,844
"HYOU1",369,443,487,346,333,232,291,199,306,566,291,35,40,7,48,709,46,128,1000,228,25,759,107,11,61,393,559,35,804,174,0,34,68,243,94,556,893,730,248,107,7,730,5,608,303,0,18,907,165,147,402,389,613,105,144,422,70,965
"GSK3A",959,31,86,821,7,428,187,23,125,194,905,75,61,297,0,329,127,314,782,763,24,331,35,342,319,483,100,91,854,518,145,508,48,141,64,383,969,450,7,236,95,700,26,723,163,18,0,375,207,752,48,863,79,117,95,488,101,136
"ASNS",683,336,286,445,719,739,577,546,194,906,402,439,25,6,771,596,858,70,722,280,886,894,452,380,508,853,342,834,870,916,977,369,863,7,183,87,831,358,813,1,883,246,38,495,731,907,375,0,417,773,84,162,869,656,924,465,256,200
"PREB",976,288,913,923,535,168,545,590,391,952,68,217,24,83,384,177,152,379,955,352,34,357,280,130,90,860,158,236,959,946,267,67,97,636,35,378,127,612,93,44,255,36,62,186,30,165,207,417,0,33,684,11,244,238,766,262,336,931
"SSR1",289,11,479,390,636,51,296,98,470,417,173,31,25,201,162,3,30,32,940,624,1,382,799,109,652,768,25,32,433,224,0,70,129,726,70,718,7,609,40,343,843,999,3,165,10,147,752,773,33,0,650,2,121,4,960,239,1,896
"CXXC1",940,720,0,344,77,944,16,129,39,211,458,531,216,927,227,831,752,179,90,485,303,916,930,415,374,681,547,211,4,955,147,938,38,122,358,102,68,676,341,292,231,242,204,253,530,402,48,84,684,650,0,162,555,547,0,97,104,248
"MYDGF",281,763,421,957,191,584,841,468,938,2,4,984,11,0,664,456,169,607,300,155,419,1,82,31,824,564,69,436,230,702,219,803,879,513,22,801,535,222,0,937,441,209,856,0,225,389,863,162,11,2,162,0,348,858,697,665,25,406
"PPP2R5B",164,880,331,90,363,777,107,378,304,629,40,915,423,896,58,10,215,383,530,216,34,217,0,77,81,26,310,2,964,160,4,37,158,285,925,100,309,761,862,711,170,5,105,579,175,613,79,869,244,121,555,348,0,76,470,2,23,203
"GOSR2",304,46,675,90,32,350,814,872,502,872,852,66,8,1,509,630,5,335,791,416,458,350,4,9,142,196,115,1,581,302,316,22,694,74,267,12,729,860,4,359,40,750,333,85,490,105,117,656,238,4,547,858,76,0,434,44,219,982
"ATF4",470,934,16,13,380,392,42,317,87,18,17,301,48,42,275,736,876,28,376,877,556,900,996,43,338,141,916,205,288,596,440,119,14,383,109,93,929,757,367,0,59,52,193,693,466,144,95,924,766,960,0,697,470,434,0,809,994,622
"GFPT1",557,37,190,10,123,158,47,76,283,958,464,15,98,1,238,601,154,78,205,51,188,4,558,186,416,53,218,45,102,593,31,46,14,78,32,220,284,640,68,75,66,305,246,551,400,422,488,465,262,239,97,665,2,44,809,0,916,163
"PDIA6",566,4,210,151,334,30,857,574,17,222,350,157,0,2,398,162,83,240,570,809,2,157,13,30,229,599,434,5,877,755,501,69,89,1,30,351,266,947,13,151,3,884,227,120,0,70,101,256,336,1,104,25,23,219,994,916,0,654
"ATF3",23,30,26,466,1,359,900,353,300,708,503,815,3,237,792,947,300,33,212,809,608,537,883,898,547,229,759,220,10,28,397,160,101,147,159,465,281,283,838,247,32,612,275,411,844,965,136,200,931,896,248,406,203,982,622,163,654,0
